run	track	layer	rank	expert	delta_W	A_W	A_S	B_W	B_S	A_tokens	B_tokens
baseline	prefill	5	7	145	0.005206312105047522	0.00884560519340825	0.07453416149068323	0.003639293088360729	0.037267080745341616	161	161
baseline	prefill	5	8	19	0.005178308185975338	0.005178308185975338	0.049689440993788817	0.0	0.0	161	161
baseline	prefill	5	9	223	0.004600813818921786	0.004600813818921786	0.024844720496894408	0.0	0.0	161	161
baseline	prefill	5	10	168	0.004598721768450314	0.011121834288497591	0.09316770186335403	0.006523112520047277	0.062111801242236024	161	161
baseline	prefill	5	11	190	0.004590937272074088	0.006457810284106351	0.062111801242236024	0.0018668730120322628	0.024844720496894408	161	161
baseline	prefill	5	12	185	0.004192186112867068	0.004192186112867068	0.031055900621118012	0.0	0.0	161	161
baseline	prefill	5	13	170	0.003598003145399725	0.0039914205141331136	0.049689440993788817	0.0003934173687333887	0.006211180124223602	161	161
baseline	prefill	5	14	114	0.0035528662088589154	0.007023729032902969	0.049689440993788817	0.0034708628240440534	0.049689440993788817	161	161
baseline	prefill	5	15	18	0.003445186434414397	0.005535637704375799	0.037267080745341616	0.0020904512699614023	0.018633540372670808	161	161
baseline	prefill	6	1	226	0.02720231111875636	0.07385304965691736	0.5031055900621118	0.046650738538161	0.36645962732919257	161	161
baseline	prefill	6	2	31	0.018708167013111014	0.03263839049887562	0.2546583850931677	0.013930223485764604	0.10559006211180125	161	161
baseline	prefill	6	3	65	0.016741909635325656	0.023469654445577706	0.13664596273291926	0.006727744810252049	0.043478260869565216	161	161
baseline	prefill	6	4	169	0.011257978151258716	0.11527087390328454	0.5527950310559007	0.10401289575202582	0.4658385093167702	161	161
baseline	prefill	6	5	204	0.010480265620716604	0.012364146319895497	0.08074534161490683	0.0018838806991788922	0.024844720496894408	161	161
baseline	prefill	6	6	165	0.009343041445884395	0.03068869936199511	0.34782608695652173	0.021345657916110716	0.2360248447204969	161	161
baseline	prefill	6	7	25	0.008246752845711948	0.018525213528112188	0.13664596273291926	0.01027846068240024	0.09316770186335403	161	161
baseline	prefill	6	8	207	0.008075991930079898	0.014890957542025187	0.15527950310559005	0.006814965611945289	0.08074534161490683	161	161
baseline	prefill	6	9	126	0.007163371239216538	0.00798695684267197	0.049689440993788817	0.0008235856034554323	0.012422360248447204	161	161
baseline	prefill	6	10	200	0.005931761298722371	0.005931761298722371	0.043478260869565216	0.0	0.0	161	161
baseline	prefill	6	11	36	0.005860295921169731	0.010320574558669788	0.09316770186335403	0.004460278637500057	0.037267080745341616	161	161
baseline	prefill	6	12	172	0.005511926499614551	0.00958720124197986	0.08695652173913043	0.004075274742365309	0.043478260869565216	161	161
baseline	prefill	6	13	52	0.005210207304676677	0.00577542806801377	0.055900621118012424	0.0005652207633370935	0.006211180124223602	161	161
baseline	prefill	6	14	92	0.0050146532934212795	0.006382695428109183	0.062111801242236024	0.0013680421346879037	0.012422360248447204	161	161
baseline	prefill	6	15	154	0.004622493835217058	0.00800522583460765	0.062111801242236024	0.003382731999390592	0.031055900621118012	161	161
baseline	prefill	7	1	208	0.012674051612795993	0.031229166668068017	0.2857142857142857	0.018555115055272024	0.19875776397515527	161	161
baseline	prefill	7	2	254	0.011130848598380802	0.0144666516524073	0.12422360248447205	0.0033358030540264986	0.037267080745341616	161	161
baseline	prefill	7	3	201	0.010152312805365507	0.01240228742512207	0.11801242236024845	0.0022499746197565612	0.024844720496894408	161	161
baseline	prefill	7	4	216	0.009949893112130282	0.011138797891118497	0.09937888198757763	0.0011889047789882155	0.012422360248447204	161	161
baseline	prefill	7	5	65	0.00975166435450166	0.010400836952983205	0.08074534161490683	0.0006491725984815446	0.006211180124223602	161	161
baseline	prefill	7	6	243	0.009352838707626022	0.011459725191327345	0.09316770186335403	0.002106886483701323	0.024844720496894408	161	161
baseline	prefill	7	7	49	0.007500866058210135	0.010170170547094405	0.09316770186335403	0.002669304488884271	0.031055900621118012	161	161
baseline	prefill	7	8	62	0.007489453676367715	0.026754751887971783	0.17391304347826086	0.019265298211604068	0.14906832298136646	161	161
baseline	prefill	7	9	125	0.00743474820174915	0.11651999695322425	0.5590062111801242	0.1090852487514751	0.4658385093167702	161	161
baseline	prefill	7	10	181	0.005754905387764828	0.00803723209944305	0.062111801242236024	0.0022823267116782206	0.018633540372670808	161	161
baseline	prefill	7	11	237	0.0051567718903318075	0.00643150030628722	0.062111801242236024	0.0012747284159554122	0.018633540372670808	161	161
baseline	prefill	7	12	252	0.0047738996224681255	0.0047738996224681255	0.037267080745341616	0.0	0.0	161	161
baseline	prefill	7	13	250	0.004282576243935892	0.007005180119506043	0.062111801242236024	0.002722603875570151	0.031055900621118012	161	161
baseline	prefill	7	14	229	0.0041392923501125806	0.053088852307683065	0.453416149068323	0.048949559957570485	0.40372670807453415	161	161
baseline	prefill	7	15	56	0.0037055363629639347	0.007982030785539735	0.055900621118012424	0.0042764944225758	0.031055900621118012	161	161
baseline	prefill	8	1	123	0.015905740031918643	0.05490388519612952	0.36645962732919257	0.03899814516421088	0.2608695652173913	161	161
baseline	prefill	8	2	186	0.015349841449206848	0.029194842338955505	0.2111801242236025	0.013845000889748656	0.11801242236024845	161	161
baseline	prefill	8	3	41	0.014909239477567695	0.034964321867705414	0.35403726708074534	0.02005508239013772	0.2360248447204969	161	161
baseline	prefill	8	4	149	0.011316132818964774	0.014849617972422083	0.12422360248447205	0.0035334851534573088	0.037267080745341616	161	161
baseline	prefill	8	5	220	0.011073550210244493	0.034157378202272125	0.3167701863354037	0.02308382799202763	0.2236024844720497	161	161
