layer	track	group	expert	W	S	Q	dense_top1_wins	dense_top1_share	n_tokens
0	generation_clean	B_professional_or_descriptive	166	0.008709476328833411	0.052083333333333336	0.16722194551360148	8	0.010416666666666666	768
0	generation_clean	B_professional_or_descriptive	17	0.008462492937358002	0.0703125	0.12035545510909158	3	0.00390625	768
0	generation_clean	B_professional_or_descriptive	252	0.008184584751500861	0.03515625	0.2328059662649134	17	0.022135416666666668	768
0	generation_clean	B_professional_or_descriptive	13	0.008076066151337023	0.055989583333333336	0.14424229777271705	6	0.0078125	768
0	generation_clean	B_professional_or_descriptive	142	0.007934573022316557	0.040364583333333336	0.19657264777868114	19	0.024739583333333332	768
0	generation_clean	B_professional_or_descriptive	36	0.007921251706800721	0.044270833333333336	0.17892709737714568	17	0.022135416666666668	768
0	generation_clean	B_professional_or_descriptive	5	0.007833218426491992	0.0625	0.12533149482387188	6	0.0078125	768
0	generation_clean	B_professional_or_descriptive	1	0.007683869419490989	0.055989583333333336	0.1372374817248623	12	0.015625	768
0	generation_clean	B_professional_or_descriptive	175	0.0075803537177075615	0.0546875	0.13861218226665256	10	0.013020833333333334	768
0	generation_clean	B_professional_or_descriptive	218	0.0074074125047492835	0.048177083333333336	0.15375385955803916	10	0.013020833333333334	768
0	generation_clean	B_professional_or_descriptive	101	0.00733356074012052	0.0390625	0.18773915494708532	12	0.015625	768
0	generation_clean	B_professional_or_descriptive	220	0.007298633667056656	0.052083333333333336	0.1401337664074878	9	0.01171875	768
0	generation_clean	B_professional_or_descriptive	25	0.007276299918467576	0.036458333333333336	0.19957851204939636	6	0.0078125	768
0	generation_clean	ALL	224	0.01880014822029568	0.12792511700468018	0.14696213425865282	37	0.028861154446177848	1282
0	generation_clean	ALL	2	0.011630283921565602	0.08580343213728549	0.13554567261315548	14	0.0109204368174727	1282
0	generation_clean	ALL	175	0.010138450301672498	0.07254290171606864	0.13975799233058217	25	0.01950078003120125	1282
0	generation_clean	ALL	78	0.010129191819848152	0.062402496099843996	0.16232029891306662	27	0.02106084243369735	1282
0	generation_clean	ALL	127	0.009924827747744577	0.06396255850234009	0.15516620942205547	24	0.0187207488299532	1282
0	generation_clean	ALL	65	0.009539194764162658	0.06162246489859594	0.15480060364122186	14	0.0109204368174727	1282
0	generation_clean	ALL	156	0.00910101641103635	0.0530421216848674	0.17158092704336178	18	0.014040561622464899	1282
0	generation_clean	ALL	218	0.00856224605939694	0.05538221528861154	0.15460280912882926	20	0.015600624024960999	1282
0	generation_clean	ALL	136	0.008463016623912453	0.04914196567862714	0.1722156716167582	22	0.0171606864274571	1282
0	generation_clean	ALL	166	0.008366590064315041	0.0483619344773791	0.17299949132986908	18	0.014040561622464899	1282
0	generation_clean	ALL	186	0.008320583496307299	0.056162246489859596	0.1481526116981383	15	0.01170046801872075	1282
0	generation_clean	ALL	41	0.008123921569122936	0.059282371294851796	0.13703772962652108	12	0.0093603744149766	1282
0	generation_clean	ALL	234	0.007912224161619706	0.05070202808112324	0.1560534057722533	20	0.015600624024960999	1282
0	generation_clean	ALL	13	0.007911174421181296	0.05382215288611544	0.14698732765151337	12	0.0093603744149766	1282
0	generation_clean	ALL	18	0.007789913599462705	0.06396255850234009	0.12178864920135596	6	0.0046801872074883	1282
0	generation_clean	ALL	101	0.007713987327175341	0.0421216848673947	0.1831357732118294	24	0.0187207488299532	1282
0	generation_clean	ALL	36	0.0076580525688796745	0.044461778471138844	0.17223900690006566	26	0.0202808112324493	1282
0	generation_clean	ALL	134	0.0075031798964508584	0.05538221528861154	0.13547995249647887	10	0.0078003120124804995	1282
0	generation_clean	ALL	226	0.007499331876291837	0.04758190327613104	0.15760890926895305	16	0.0124804992199688	1282
0	generation_clean	ALL	238	0.00739480486377394	0.0530421216848674	0.13941382110820869	11	0.00858034321372855	1282
0	prefill	A_unsafe_redflag	13	0.03281623483035957	0.16770186335403728	0.1956819928773293	25	0.15527950310559005	161
0	prefill	A_unsafe_redflag	189	0.03128796176228693	0.19254658385093168	0.16249554334607083	16	0.09937888198757763	161
0	prefill	A_unsafe_redflag	174	0.028789143946130743	0.16770186335403728	0.171668599086187	0	0.0	161
0	prefill	A_unsafe_redflag	236	0.02236121452785337	0.11180124223602485	0.20000864105468846	7	0.043478260869565216	161
0	prefill	A_unsafe_redflag	30	0.02147608285972312	0.19875776397515527	0.10805154188798195	1	0.006211180124223602	161
0	prefill	A_unsafe_redflag	73	0.01981892354451472	0.19254658385093168	0.1029305384086087	0	0.0	161
0	prefill	A_unsafe_redflag	238	0.01968360359087741	0.18012422360248448	0.10927793717694011	0	0.0	161
