track	layer	rank	expert	delta_W	A_W	A_S	A_Q	B_W	B_S	B_Q	A_tokens	B_tokens
generation_clean	2	16	136	0.004404498737092762	0.0065927181532204745	0.048638132295719845	0.13554628523021295	0.0021882194161277134	0.020833333333333332	0.10503453197413025	514	768
generation_clean	2	17	95	0.004351656422269598	0.008115161717781956	0.048638132295719845	0.16684772491759703	0.0037635052955123584	0.029947916666666668	0.1256683507371083	514	768
generation_clean	2	18	157	0.004268253709832583	0.007553286588072163	0.07392996108949416	0.10216813963866031	0.00328503287823958	0.036458333333333336	0.0901037589459999	514	768
generation_clean	2	19	49	0.00400589355099733	0.011333018585223573	0.05058365758754864	0.22404505972326602	0.007327125034226243	0.04296875	0.17052218261471982	514	768
generation_clean	2	20	63	0.0037673224787793534	0.007097330634115905	0.0622568093385214	0.11400087331048672	0.003330008155336552	0.026041666666666668	0.1278723131649236	514	768
prefill	2	1	222	0.048883267685232726	0.07155777626711159	0.15527950310559005	0.46083207916019864	0.02267450858187886	0.043478260869565216	0.5215136973832138	161	161
prefill	2	2	233	0.01993365141990087	0.029422468077568927	0.18633540372670807	0.15790057868295326	0.009488816657668056	0.06832298136645963	0.13888177108041427	161	161
prefill	2	3	41	0.011625152855392187	0.042625719234553765	0.36645962732919257	0.11631764062310433	0.031000566379161577	0.2484472049689441	0.12477727967612535	161	161
prefill	2	4	61	0.009040003026205676	0.01232175973498404	0.17391304347826086	0.07085011847615824	0.003281756708778365	0.06832298136645963	0.04803298455575607	161	161
prefill	2	5	168	0.00834506715182276	0.008883814018530264	0.16149068322981366	0.055011309883975866	0.0005387468667075038	0.012422360248447204	0.04336912276995406	161	161
prefill	2	6	158	0.007731315117347565	0.06141824214022154	0.4472049689440994	0.13733801367466206	0.053686927022873976	0.391304347826087	0.13719992461401126	161	161
prefill	2	7	84	0.007665954430166964	0.017166011986557036	0.10559006211180125	0.16257223116680486	0.009500057556390072	0.055900621118012424	0.1699454740643113	161	161
prefill	2	8	204	0.0068838092040463626	0.010055013365519616	0.17391304347826086	0.05781632685173779	0.0031712041614732536	0.055900621118012424	0.05672931888857709	161	161
prefill	2	9	153	0.005817843595410176	0.04693235600124519	0.42857142857142855	0.10950883066957212	0.04111451240583502	0.3416149068322981	0.12035339086071706	161	161
prefill	2	10	125	0.004928530075357756	0.005488984625918067	0.031055900621118012	0.17674530495456175	0.0005604545505603112	0.006211180124223602	0.0902331826402101	161	161
prefill	2	11	178	0.004388172222446607	0.006966053559592854	0.037267080745341616	0.18692243718240822	0.002577881337146247	0.012422360248447204	0.20751944764027289	161	161
prefill	2	12	101	0.004153363185555625	0.007408160986523758	0.043478260869565216	0.17038770269004644	0.003254797800968133	0.031055900621118012	0.1048044891911739	161	161
prefill	2	13	238	0.004123845970891573	0.004670104593028876	0.018633540372670808	0.25062894649254963	0.0005462586221373024	0.006211180124223602	0.0879476381641057	161	161
prefill	2	14	47	0.004083225045765465	0.004083225045765465	0.018633540372670808	0.21913307745607996	0.0	0.0	0.0	161	161
prefill	2	15	150	0.0039673071079056295	0.004689671378183033	0.037267080745341616	0.12583951531457804	0.0007223642702774032	0.006211180124223602	0.11630064751466192	161	161
prefill	2	16	157	0.003789576749270983	0.011646599394811517	0.11180124223602485	0.1041723612535919	0.007857022645540534	0.06832298136645963	0.11499824053927508	161	161
prefill	2	17	92	0.003701834320033536	0.005666733390743597	0.031055900621118012	0.18246881518194383	0.0019648990707100615	0.006211180124223602	0.3163487503843199	161	161
prefill	2	18	234	0.00354494366263292	0.00354494366263292	0.024844720496894408	0.14268398242097505	0.0	0.0	0.0	161	161
prefill	2	19	129	0.003426190220399729	0.02704388237112678	0.13043478260869565	0.20733643151197198	0.02361769215072705	0.10559006211180125	0.22367343742747384	161	161
prefill	2	20	185	0.0029880017026390386	0.0036723122615282705	0.049689440993788817	0.07390528426325645	0.0006843105588892319	0.037267080745341616	0.01836233333019439	161	161
generation_clean	3	1	209	0.014720312500014657	0.034405095895517344	0.188715953307393	0.18231153907521563	0.019684783395502687	0.12630208333333334	0.15585477987367075	514	768
generation_clean	3	2	15	0.010784297507026242	0.01519661602813436	0.10311284046692606	0.14737850261247287	0.004412318521108119	0.037760416666666664	0.11685036635210466	514	768
